"Informazioni cronologiche","What is your current level of study?  ","How would you rate your experience with Linux / command-line interfaces? ","How would you rate your knowledge of digital forensics?","Have you ever participated in a CTF (Capture The Flag) or similar cybersecurity exercise?","Have you ever used a gamified learning platform (e.g., TryHackMe, HackTheBox, LetsDefend)? ","Your CFA Participant ID (Enter the CFA-XXXXXX code shown on the platform. You can find it in the top-left corner, as shown in the picture).","I think that I would like to use this system frequently. ","I found the system unnecessarily complex. ","I thought the system was easy to use. ","I think that I would need the support of a technical person to be able to use this system. ","I found the various functions in this system were well integrated. ","I thought there was too much inconsistency in this system. ","I would imagine that most people would learn to use this system very quickly. ","I found the system very awkard to use. ","I felt very confident using the system. ","I needed to learn a lot of things before I could get going with this system. ","The investigation scenario felt realistic and believable. ","The narrative (the story behind the scenario) helped me understand why each step mattered. ","The 3D environment and visual design made the experience more immersive. ","I felt motivated to complete all the tasks. ","I would use this platform again to practice digital forensics. ","After using the platform, I have a clearer understanding of the digital forensics investigation process. ","The tasks helped me think like an investigator rather than just following instructions.","The progressive difficulty of the tasks felt appropriate for my level.","The hint system helped me when I was stuck without making tasks too easy.","I feel more confident using forensic tools (e.g., sha256sum, dd, tshark) after this session. ","What did you find most useful or engaging about the platform? ","What was confusing, frustrating, or missing? ","Any suggestions for improvement? "
"2026/02/26 4:49:29 PM CET","Other degree","2","1","no","yes","CFA-NFYHAP","4","1","5","1","4","1","5","2","5","1","3","4","5","5","4","3","3","3","4","4","The points and Leaderboard, Fun UI and good UX","nothing, there was a good instruction","no"
"2026/02/26 7:55:04 PM CET","No university degree","1","1","no","no","CFA-QZRTM0","4","2","2","5","5","2","3","2","3","4","4","5","5","5","5","3","5","3","4","4","That there was a step for step instruction which also explained the tasks really nice. I didn't know anything about digital forensics and it was really fun to dive a little into it with this game. ","Maybe it would be interesting to make a time stamp to see how long you need to complete the task, so you can compete with your colleagues.","As a complete beginner in this field I didn't know when I should make a space between words or letters. So maybe you could highlight the spaces, but I think that people working in this field should know it. "
"2026/02/27 10:59:35 AM CET","MSc Cybersecurity","5","4","yes","yes","CFA-L0IOCJ","5","1","5","1","5","1","4","1","5","1","5","5","5","5","5","5","5","5","5","5","","",""
"2026/03/01 6:50:43 PM CET","BSc Computer Science","3","3","no","no","CFA-83EISD","4","1","5","2","5","1","4","3","5","1","5","5","5","5","5","4","5","4","2","5","","","You are the best :)"
"2026/03/02 10:54:31 AM CET","MSc Cybersecurity","3","2","yes","yes","CFA-MEEBQ4","4","1","4","2","4","1","3","1","4","3","4","5","5","4","5","4","3","5","5","4","analyze suspicious file magic bytes","nothing","that's enough"
"2026/03/04 2:46:04 AM CET","BSc Computer Science;Other degree","4","3","no","no","CFA-QR5B4K","4","1","5","1","5","1","4","2","5","2","5","5","5","5","5","5","4","5","4","4","The sidebar menu is really helpful to keep track of what's the next step in the task, making the experience intuitive to follow","Nothing to note, although I took a while to ""find"" the hard disk to connect to the station.","First time trying something like this so nothing to add, I found it really enjoyable!"
"2026/03/04 10:55:50 AM CET","MSc Cybersecurity","5","5","yes","yes","CFA-AVO239","3","2","4","1","4","2","3","1","4","1","3","3","4","4","3","4","2","4","3","4","the story and the investigation path that follows a forensic logic","",""
"2026/03/04 5:01:22 PM CET","Other degree","1","1","no","no","CFA-DKTRQA","2","2","4","3","3","2","5","3","3","4","5","3","5","4","4","3","4","2","5","1","useful: learning things about writing codes and digital forensics . engaging: definitely the fact that you can move freely and the 3D experience (thanks also the hint)","if you are not a IT person the tasks are a little difficult to understand","No"
"2026/03/04 9:12:45 PM CET","MSc Cybersecurity","5","2","yes","yes","CFA-ZP15TW","5","1","5","1","5","1","5","1","4","1","5","5","5","5","3","5","5","5","5","5","The way it is interactive and the gamification approach to the tasks","Nothing in particular","Extend the list of shell commands simulated"
"2026/03/07 11:25:30 AM CET","BSc Computer Science","5","3","yes","yes","CFA-MHVGXO","5","1","5","2","4","1","5","1","5","1","5","5","5","5","5","5","2","4","1","5","The console scene","Sometimes the tab keyboard button for autocompleting path wasn't working ",""
"2026/03/07 1:35:54 PM CET","MSc Cybersecurity","5","5","yes","no","CFA-PFPKSY","5","5","5","2","5","2","5","1","5","3","5","5","5","5","5","5","5","5","5","5","The way of interacting with the platform","I found everything really perfect",""
"2026/03/07 4:29:03 PM CET","No university degree","1","2","no","no","CFA-9IHKRT","4","1","1","5","5","1","2","3","2","5","5","5","5","4","4","4","5","4","3","2","I find the UI/Controls really good and suggestions on each task displayed was really helpful to understand every step in that process.","Sometimes is difficult to understand when you should text a command to looking for a specific file but it's also challenging as a non-IT specialist.","Not, just follow your ideas to future updates."